SCHOOL NAME,SAT Tests Taken,SAT Section Average,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
STUYVESANT HIGH SCHOOL,832,699,679,735,682
BRONX HIGH SCHOOL OF SCIENCE,731,657,632,688,649
STATEN ISLAND TECHNICAL HIGH SCHOOL,227,651,635,682,636
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,640,636,648,636
TOWNSEND HARRIS HIGH SCHOOL,278,637,621,651,638
QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,623,612,660,596
BARD HIGH SCHOOL EARLY COLLEGE,130,619,624,604,628
"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,616,605,654,588
BROOKLYN TECHNICAL HIGH SCHOOL,1277,611,587,659,587
ELEANOR ROOSEVELT HIGH SCHOOL,127,586,572,594,592
BEACON HIGH SCHOOL,261,582,577,575,592
"BROOKLYN LATIN SCHOOL, THE",72,580,586,584,570
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,569,566,564,577
N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,559,537,590,550
BARD HIGH SCHOOL EARLY COLLEGE II,155,555,545,568,550
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,546,524,568,544
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,543,524,561,542
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,541,522,574,525
MILLENNIUM HIGH SCHOOL,144,538,528,553,533
BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,526,496,563,518
SCHOOL OF THE FUTURE HIGH SCHOOL,66,522,517,533,515
URBAN ACADEMY LABORATORY HIGH SCHOOL,30,516,527,508,512
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,513,523,502
SCHOLARS' ACADEMY,89,511,499,537,496
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,508,509,490,523
BENJAMIN N. CARDOZO HIGH SCHOOL,888,505,480,545,489
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,498,504,496,494
FRANCIS LEWIS HIGH SCHOOL,934,492,468,539,467
MIDWOOD HIGH SCHOOL,824,491,478,519,476
ACADEMY OF AMERICAN STUDIES,135,490,487,492,491
BAYSIDE HIGH SCHOOL,708,483,462,523,464
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,482,473,506,467
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,481,471,489,481
NYC ISCHOOL,92,479,473,483,479
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,479,476,481,479
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,477,461,514,455
EDWARD R. MURROW HIGH SCHOOL,727,477,468,496,467
THE MICHAEL J. PETRIDES SCHOOL,107,476,472,488,466
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,475,412,581,431
INSTITUTE FOR COLLABORATIVE EDUCATION,54,475,492,465,467
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,473,465,493,461
N.Y.C. MUSEUM SCHOOL,103,473,468,492,459
TOTTENVILLE HIGH SCHOOL,807,473,462,486,470
TALENT UNLIMITED HIGH SCHOOL,81,472,469,472,475
HIGH SCHOOL M560 s CITY AS SCHOOL,56,472,498,440,477
FOREST HILLS HIGH SCHOOL,762,469,456,497,454
"QUEENS SCHOOL OF INQUIRY, THE",58,466,455,498,443
BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,466,459,480,457
BENJAMIN BANNEKER ACADEMY,185,464,471,472,448
SUSAN E. WAGNER HIGH SCHOOL,535,463,455,474,459
HIGH SCHOOL OF ECONOMICS AND FINANCE,167,458,443,489,442
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,458,452,478,442
FREDERICK DOUGLASS ACADEMY,214,458,458,474,442
MANHATTAN VILLAGE ACADEMY,95,458,441,473,458
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,455,445,496,423
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,454,457,462,441
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,451,441,499,413
